name,latitude,longitude,type,tel,cel,email,address
Bedford Clinic,-32.68292,26.0883,Clinic,466850076,793756818,,"Cole Street,"
Bedford Hospital,-32.67534,26.09012,District Hospital,466850043,760782077,,"Maitland Street,"
Bedford Orthopaedic Hospital (Mthatha),-31.577228,28.706814,Specialised Orthopaedic Hospital,475324489,781161681,,
Beestekraal Clinic,-31.517471,27.815988,Clinic,,083 3031 671,,Ekuphumleni Village
Bengu Clinic (Emalahleni),-31.792709,27.335165,Clinic,458785393,829410577,,Bengu
Bensonvale Clinic,-30.582562,27.356668,Clinic,,833780667,,Bensonvale Clinic
Bergsig Clinic,-33.387515,25.450146,Clinic,,084 4642 519,erikad@srvm.gov.za,Hiv Tarentaal En Arendstraat
Berlin Clinic,-32.88395,27.57776,Clinic,436852359,726305017,,"8 Legian Street,"
Bethania Clinic,-30.659827,28.295921,Clinic,,72449342,,Makgaaseng Location
Bezuidenhoutville Clinic,-32.68805,26.29813,Clinic,046 684 0034,083 528 0851,,1 Goliath Meyer Road
Bhele Clinic,-33.20301,27.182662,Clinic,406739967,733310758,,"Bhele Clinic, Feni Location Peddie"
Bhisho Gateway Clinic,-32.82697,27.456626,Clinic,406350379,836524183,,Komga Road
Bhisho Hospital,-32.82774,27.45516,District Hospital,406352958,406352956,lyly@webmail.co.za,"Komga Road,"
Bhisho Parliament Clinic,-32.863183,27.427524,Specialised Clinic,406080176,837296806,,Provincial Legislater Building
Bhongweni Clinic,-32.74653,25.798455,Clinic,042 247 1156,082 870 9281,,Auriet
Bilatye Clinic,-31.946554,27.365533,Clinic,073 199 3529,071 9886 115,,
Bityi Clinic,-31.79406,28.52346,Clinic,718543807,833571580,,Bokisiwi Loc
BJ Vorster (Kareedouw) Hospital,-33.951165,24.296093,District Hospital,042 288 0714,083 378 9256,louis.skade@impilo.ecprov.gov.za,Corner Krom And Baaken Street
Bluegums Clinic,-30.547432,27.232095,Clinic,833781186,735858121,,Bluegums Clinic
Bodweni Clinic,-31.184761,29.551313,Clinic,833781180,838818396,,"Bodweni Location, Under Lusikisiki, Near Flagstaff"
Bokleni Clinic,-31.595891,28.194118,Clinic,833780604,,,Bokleni Clinic
Bolotwa Clinic (Confimvaba),-31.986428,27.198906,Clinic,,071 859883,,Bolotwa Village
Bolotwa Clinic (Idutywa),-31.91607,28.292898,Clinic,083 303 1669,083 926 8125,,Bolotwa Village
Bomvana Clinic,-32.106372,28.812726,Clinic,071 8543 838,083 374 3955,,Ntlonyana Location
Bomvini Clinic,-31.401671,29.472287,Clinic,,827925772,,Bomvini A/A
Boomplaas Clinic,-31.498463,27.185436,Clinic,839568647,839568647,,Lady Frere 5410
Booysens Park Clinic,-33.862104,25.459131,Clinic,041 506 2700,082 350 9103,booysenparkclinicschn@mandelametro.gov.za,Off Anburn And Dunbar Road
Braelyn Clinic,-33.000183,27.879621,Clinic,437411321,839905660,,"Versuvius Street, Braelyn Hall"
Braelyn Extension Clinic,-33.003994,27.860727,Clinic,437412080,722153290,,"Guzana Street, Braelyn Ext 10"
Breidbach Clinic,-32.88561,27.446562,Clinic,436441051,734219480,,Protea Drive
Brug Straat Clinic (Jansenville),-32.947678,24.666844,Clinic,049 8360234,073 345 2088,,3 Brug Street
Buchele Clinic,-31.495867,29.621311,Clinic,,718543819,,
Bulembu Clinic,-32.872872,27.266548,Clinic,406597004,732763921,,Bulumbu Location
Buntingville Clinic,-31.636098,28.870371,Clinic,,833780613,,
Burgersdorp Clinic,-30.99439,26.331863,Clinic,516531777,827703043,,1 Jan Greyling Street
Burgersdorp Hospital,-30.992951,26.31416,District Hospital,0516531881/2/3,833782197,dannielle.koekemoer@impilo.ecprov.goc.za,Daantjie Van Den Heever Street
Burnshill Clinic,-32.768647,27.055024,Clinic,406578303,734800138,,
Butterworth Gateway Clinic,-32.33287,28.139457,Clinic,047 4914161 EXT182,834320843,,Ene Geacht Fullor
Butterworth Hospital,-32.331642,28.137971,District Hospital,474914161,738143282,pangalele.nqeketa@impilo.ec.prov.gov.za,Scanlen Street
Caba Clinic,-31.083777,28.613033,Clinic,,0833031489 / 0839926308,,Cabayale
Caguba Clinic,-31.638268,29.469001,Clinic,834210260,718595964,,Caguba A/A
Cala Hospital,-31.523473,27.678997,District Hospital,047 877 0129,833789501,zoyisile.titi@impilo.ecprov.gov.za,Drully Lane Cala
Cambridge Clinic,-32.978086,27.889687,Clinic,437260142,829635872,,"Cnr Sprigg And Dominon Street, Cambridge"
Cancele Clinic,-30.848116,28.78742,Clinic,,083 303 1627,,Cancele Location
Canzibe Gateway Clinic,-31.809503,29.065801,Clinic,475688292,731306594,,
Canzibe Hospital,-31.809503,29.065801,District Hospital,0475688290/1/2/3,824782960,panjieboyce@gmail.com,Canzibe Administrative Area
Cata Clinic,-32.595165,27.124842,Clinic,833780495,712485941,,Upper Cxulu Location
Cathcart Clinic,-32.29816,27.14426,Clinic,,733966043,,Main Street
Cathcart Hospital,-32.29026,27.13691,District Hospital,458431002,,vusumzi.sowazi@impilo.ecprov.gov.za,"10 Fletcher Street,"
CC Lloyd Clinic,-32.77502,26.63361,Clinic,466457418,835711744,,"36 Campbell Street,"
Cecilia Makiwane Hospital,-32.92785,27.74422,Regional Hospital,437082135,833780262,luntu.galo@impilo.ecprov.gov.za,04 Bullie Road
Central CHC (Sandford),-33.958027,25.601723,Community Health Clinic,041 373 0014,082 929 1718,henri.heinemann@impiloecprov.gov.za,Northwod Road
Central Clinic (East London),-33.016927,27.906105,Clinic,437435465,786023227,,"Standard Bank Building, Cambridge Street, El"
Central Clinic (Port Elizabeth),-33.964585,25.612789,Clinic,041 506 2847,082 350 8494,centralclinicschn@mandelametro.gov.za,6 Rose Street
Chatty Clinic,-33.873729,25.495512,Clinic,041 506 3070,082 798 9720,chattyclinicrec@mandelametro.gov.za,Daily Sear Street
Chris Hani Clinic,-32.954635,27.924749,Clinic,437485871,768157553,,Nompemelelo Location
Cimezile Clinic,-32.262829,26.636344,Clinic,408610401,718595758,,
Civic Centre Clinic (Mthatha),-31.58265,28.78992,Clinic,475014038,735053167,,N2
Clarkebury Clinic,-31.790883,28.286925,Clinic,833780557,710354283,,"R61 From Ngcobo To Mthatha, 30km Clarkebury Turn"
Clarkson Clinic,-34.010403,24.348788,Clinic,042 282 20028,072 133 2089,,Skool Street Clarkson
Cloete Joubert (Barkly East) Hospital,-30.967559,27.586734,District Hospital,459710091,822560869,nokonwaba.mati@impilo.ecprov.gov.za,No 1 Voortrekker Road
Cofimvaba Hospital,-32.011347,27.581767,District Hospital,047 874 800,072 808 7698,,417 219 080 Rd
Coldstream Satellite Clinic,-33.961849,23.700766,Satellite Clinic,,073 225 6942,,Coldstream
Collondale Satellite Clinic,-33.03977,27.818606,Satellite Clinic,437366178,723438015,,"Main Road, Colindale, East London"
Cradock Hospital,-32.167989,25.622912,District Hospital,488812123,827884636,nonelive.ncukana@impilo.ecprov.gov.za,30 Hospital Street
Cumakala 1 Clinic,-32.55717,27.44754,Clinic,043 681 0024,073 021 8975,,Mlungisa Location
Cumakala 2 Clinic,-32.56293,27.44868,Clinic,436810023,,,"1192 Mlungisi Street,"
Cuyler Youth Centre,-33.765979,25.392124,Clinic,,082 739 7717,,40 Cuyler Street
Cwecweni Clinic,-31.936795,28.054667,Clinic,,083 378 1184,,
Cwele Clinic,-31.672414,29.24055,Clinic,,734275221,,
Cwili Clinic,-32.676982,28.363489,Clinic,438411274,832633800,,955 Zamaklyumle Street
Daliwe Clinic,-32.301795,27.151704,Clinic,458431024,733040931,,Mbindimi
Daliwonga Clinic,-31.103457,29.904348,Clinic,39251311,826780576,,Kwa Mpisi
Debe Nek Clinic,-32.84583,27.13793,Clinic,040 657 0385,083 357 0385,,
Didimana Clinic,-32.121421,26.611464,Clinic,408451022,842803891,,Lower Didimana
Dimbaza CHC,-32.835462,27.214074,Community Health Clinic,406562022,729416151,,Dimbaza Central
Donnington Clinic,-32.72367,27.42576,Clinic,406361018,834727966,,
Dora Nginza Hospital,-33.8773,25.56,Regional Hospital,414064429,833780982,nqobi.mtshake@impilo.ecprov.gov.za,Spondo Road
Dordrecht Clinic,-31.377304,27.047887,Clinic,459431245,835284246,,1 Klip Sreet Dordrecht
Dordrecht Hospital,-31.391496,27.045958,District Hospital,459431019,845821067,ebo@xsinet.co.za,"Grey Street,"
Double Falls Clinic,-31.627443,29.383525,Clinic,833781127,720859669,,Nyqungweni A/A
Dr CL Bikitsha Clinic,-32.278377,28.105042,Clinic,,824274423,,Unknown
Dr Malizo Mpehle Memorial Hospital,-31.316606,28.777753,District Hospital,475426300,824217422,nobuhlemadaza@impilo.ecprov.gov.za,"Main Street, Tsolo"
Drake Road Clinic,-32.985686,27.929081,Clinic,437351608,837295445,,"Drake Road, Nahoon, East London"
Du Preez Street Clinic,-33.803141,25.463042,Clinic,041 506 1970,082 798 9714,dupreezstreetschn@mandelametro.gov.za,Dupreez
Duncan Village CHC,-33.00773,27.886691,Community Health Clinic,437424762,793149493,,Plumbayo Road
Dundee Clinic,-30.74694,29.42436,Clinic,,083 303 1691,,Dundee Location
Dungu Clinic,-31.222931,29.206274,Clinic,,828651440,,"Dungu Clinic, Tabankulu"
Edamini Clinic,-33.832414,25.385955,Clinic,041 506 2080,082 798 9719,edameniclinicsisterincharge@mandelametro.gov.za,20 First Avenue Khayelitsha
Efata Clinic,-31.568563,28.71823,Clinic,475360527,735360527,,It Is Situated On R61 From Mthatha To Ncobo - Right Turn To Efata School - 5km From Mthatha
Ekuphumleni Clinic,-32.178409,26.782093,Clinic,408410130,734182237,,
Elizabeth Donkin Hospital,-33.979422,25.627584,Specialised Psychiatric Hospital,415852323,835772677,dr.stof@mweb.co.za,Forest Hill Drive
Elliot Clinic,-31.333386,27.850213,Clinic,459311409,718595849,,"Church Street, Elliot"
Elliot Hospital,-31.337492,27.839329,District Hospital,459311321,,nomvelo.sipeliti@ipilo.ecprov.gov.za,"Maclear Road, Elliot"
Elucwecwe Clinic,-31.7357,27.88056,Clinic,,833780594,,Elucwecwe A/A
Eluhewini Clinic,-31.705876,28.126829,Clinic,,718543815,,Clarkebury Turn 10km Away From Ngcobo
Elukholweni Clinic,-30.629156,28.852099,Clinic,,083 303 1739,,
Eluxolweni Clinic,-31.643611,25.805589,Clinic,488850174,715247850,,Eloxolweni Clinic
Empilisweni Clinic,-31.193879,28.240383,Clinic,,744001058,,Bokejk
Empilisweni Hospital,-30.53231,27.37433,District Hospital,516110037,0718543701 / 0827028822,bhacile.mkontwana@impilo.ecprov.gov.za,Umlamli Road
Empilweni CHC,-33.014525,27.849384,Community Health Clinic,437331089,814503146,,"1 Dunoon Road, Buffalo Flats"
Empilweni TB Hospital,-33.908859,25.58468,Specialised TB Hospital,414067600,833789627,ruben.devos@impilo.ecprov.gov.za,"Mati Road,"
Engojini Clinic,-32.22432,26.753857,Clinic,408429616,835581795,,
Esilindini Clinic,-30.543866,27.330267,Clinic,,833031493,,Esilindini Clinic
Ethembeni Clinic,-32.7628,27.43183,Clinic,406362863,833157546,,
Eureka Clinic,-31.007249,26.317977,Clinic,516531777,736051364,,Angelier Street
Ezibeleni Clinic,-31.90093,26.959004,Clinic,478731036,835257216,,Ndono
Ezingcuka Clinic,-31.300924,28.657982,Clinic,,833780616,,Zingcuka A/A
Fezeka NU 3 Clinic,-32.931768,27.753004,Clinic,437611314,833440370,,Nu 3
Fish River Clinic,-31.911817,25.415886,Clinic,488813958,833053593,,Fish River Station
Flagstaff Clinic,-31.080063,29.496124,Clinic,392520136,832603289,,Main
Fort Beaufort Gateway Clinic,-32.7816,26.6348,Clinic,046 645 1111,082 924 5917,,Bell Street
Fort Beaufort Hospital,-32.7817,26.63483,District Hospital,466451111,829479559,nompumelelo.duba@impilo.ecprov.gov.za,"Bell Street,"
Fort England Hospital,-33.315436,26.543186,Specialised Psychiatric Hospital,046 622 7003,083 378 2223,jenny.holder@impilo.ecprov.gov.za,Tork Street
Fort Grey Clinic,-33.036973,27.8031,Clinic,761285655,839268647,,Fort Grey Squatter Camp
Fort Grey TB Hospital,-33.02207,27.82122,Specialised TB Hospital,437369850,833780427,nonceba.nqini@impilo.ecprov.gov.za,
Fort Malan Clinic,-32.150659,28.523716,Clinic,073 396 8238,076 555 2207,,
Frankfort Clinic,-32.72026,27.45267,Clinic,406360394,835448839,,
Fransbury Satellite Clinic,-31.964426,27.07867,Satellite Clinic,,738554151,,
Frere Gateway Clinic,-32.996458,27.891186,Clinic,043 709 2146,073 427 0459,,Lennox Road Amalinda
Frere Hospital,-32.99599,27.89156,Regional Hospital,437092111,833780135,lerato.kizito@impilo.ecprov.gov.za,"Amalinda Drive,"
Frontier Hospital,-31.889209,26.871405,District Hospital,458084200,833780777,,Kingway Road
Gardens Clinic,-31.893643,26.874388,Clinic,458072704,,,Shepstone Street
Gcaleka Clinic,-32.338445,28.319415,Clinic,,833780561,,
Gelvandale Clinic,-33.9163,25.55013,Clinic,041 506 2810,082 350 9280,gelvandaleclinicschn@mandelametro.gov.za,90 Bell Road Galvendale
Gilton Clinic,-32.66184,26.94244,Clinic,040 653 8905,082 420 1534,,Gilton Location
Ginsberg Clinic,-32.892174,27.385266,Clinic,436421280,725566238,,1888 Gqaliwe
Glen Grey Hospital,-31.719037,27.199579,District Hospital,478782800,833780803,,Indwe Road Lady Frere
Glenmore Clinic,-33.142572,26.858592,Clinic,406750188,724362707,,Glenmore Village
Gompo A Ndende Clinic,-33.007219,27.876342,Clinic,437052309,733861901,,Ndende Street
Gompo B Jwayi Clinic,-33.016742,27.858008,Clinic,437334100,784832043,,Zitumane Street
Gompo C Jabavu Clinic,-33.011861,27.864001,Clinic,,822640530,,"Jabavu Street, Duncan Village"
Gonubie Clinic,-32.941637,28.021826,Clinic,043 705 9736,083 580 9582,,7th Street
Goso Forest Clinic,-31.38858,29.622249,Clinic,392538998,718595845,,Goso Forest
Govan Mbeki Clinic,-33.857166,25.535381,Clinic,041 506 1861,082 798 722,govanmbekiclinicschn@mandelametro.gov.za,Govan Mbeki Clinic
Gqaga Clinic,-31.544896,28.213019,Clinic,833781188,833781188,,28km From Ngcobo To Mthatha R61 Left Turn To Gqaga
Gqaqhala Clinic,-31.282466,28.387733,Clinic,475428908,737059902,,Gqaqhala Village
Gqebera CHC,-33.986143,25.588864,Community Health Clinic,041 506 1611,082 798 9724,gqegeraclinicschn@mandelametro.gov.za,Vuyo Street
Gqogqora Clinic,-31.98243,27.887051,Clinic,,073244 1851,,
Gqunqe Clinic,-32.468859,28.562297,Clinic,,832431086,,"Gqunqe Location, Centane"
Graaff-Reinet Day Hospital,-32.275577,24.555366,Community Health Clinic,049 893 0049/893 0051,073 906 7981,cathy.koeberg@impilo.ecprov.gov.za,Bree Street
Gracey Clinic,-32.582041,25.133514,Clinic,042 246 1454,083 343 2334,,Lottery Street
Grainvalley Clinic,-32.237561,28.048927,Clinic,,833780560,,Mantunzeleni
Greenfields Clinic,-33.03499,27.864482,Clinic,437366084,785014213,,"Greenfields Clinic, Settlers Way"
Greenville Hospital,-30.930565,30.108987,District Hospital,392513009,833781766,luyandanqenqa@gmail.com,"Etyen A/A, Emijolini Location"
Greenville PHC Clinic,-30.929712,30.110006,Clinic,833031709,783235775,,Etyeni Administrative Area
Grey Gateway Clinic,-32.879623,27.394377,Clinic,436422758,839927654,,5 Lonsdale Road
Grey Hospital,-32.87932,27.39579,District Hospital,436433304,833789740,thokozile.mkwanazi@impilo.ecprov.gov.za,"Lonsdale Street,"
Guba Clinic,-31.51514,27.30681,Clinic,833781189,833781189,,Vukani A
Gubenxa Clinic,-31.717355,27.820856,Clinic,833780591,731858147,,Gubenza X1a
Gura Clinic,-31.027071,28.833393,Clinic,83580989,NO,,No
Gustav Lamour Clinic,-33.815938,25.46398,Clinic,041 506 3060,071 986 5837,gustaluvlamourclinic,Loerie Street
Gwabeni Clinic,-33.09613,26.961981,Clinic,406759917,736436329,,Gwabeni Location
Gwadana Clinic,-32.214998,28.290675,Clinic,083 378 0546,073 205 9861,,Gwadana Location
Gwadu Clinic,-32.220094,28.66811,Clinic,083 378 0545,082 479 9532,,Lowwer Gwadu Location
Gwatyu Clinic,-32.006477,27.321933,Clinic,833780650,834044749,,Gwatyu Clinic
Gxulu Clinic,-32.645222,27.110173,Clinic,406589143,836149547,,Upper Gxulu
Gxwederha Clinic,-32.84161,26.78648,Clinic,,078 720 6072,,Jami Location
Hackney Clinic,-32.318133,26.644903,Clinic,408610090,834035444,,Hackney Clinic Hackney Village
Hamburg Clinic,-33.290568,27.473226,Clinic,406781117,785140587,,Hamburg Near Theasea Location
Haytor Clinic,-32.294688,26.771021,Clinic,408428943,837201947,,Rural Village
Healdtown Clinic,-32.73159,26.70145,Clinic,466521020,732658715,,
Hebe-Hebe Clinic,-32.23609,27.83032,Clinic,833780190,767238230,,
Helenvale Clinic,-33.911279,25.551799,Clinic,041 506 3168,073 148 0864,helenvaleclinicschn@mandelametro.gov.za,90 Gail And Kobus Road
Herschel Clinic,-30.61497,27.16345,Clinic,833031711,721363009,,Herchel
Hewu Hospital,-32.168393,26.792752,District Hospital,408410133,839838140,,Ekupumleni Main Road
High Street Clinic,-32.167248,25.616341,Clinic,488015072,083 784 6218,,"33 Beeren Street, Cradock"
Highview Clinic,-32.434991,27.947188,Clinic,,833780540,,Ngqutu A/A
Hillside Clinic (Nkonkobe),-32.75227,26.63978,Clinic,046 645 7446,073 812 5636,,Hillside Location
Hillside Clinic (Senqu),-30.561099,27.563748,Clinic,833781135,826676259,,Hillside Village
Hilton Clinic,-30.698823,26.69755,Clinic,516341062,835170704,,Marcoue Street
Hlabatshane Clinic,-31.745112,28.856835,Clinic,475735351,835538435,,Hlabatshane A/A
Hlala Uphilile Clinic,-31.377135,27.037944,Clinic,459431472,715537990,,Sinako Township
Hlamandana Clinic,-30.817607,29.720654,Clinic,,0833781167 / 0837513458,,"Ludeka Mission, Next To Methodist Church"
Hlangalane Clinic,-30.963845,28.529668,Clinic,,833780738,,Ramatee Loc
Hlankomo Clinic,-30.929601,28.419166,Clinic,,718543779,,Mcambalala Location
Hlomendlini Clinic,-30.5861,27.263198,Clinic,,718543803,,Hlomendlini Clinic
Hobeni Clinic,-32.184044,28.878765,Clinic,083 3033 912,082 7341 706,,Hobeni Clinic
Hofmeyer Clinic,-31.655724,25.804267,Clinic,488850078,732062019,,32 School Street
Holy Cross Hospital,-31.148278,29.676084,District Hospital,0392523000-1 / 0392522026-7,833780224,ngumbelamk@yahoo.com,
Holy Cross PHC Clinic,-31.148278,29.676084,Clinic,392537522,833314979,,"Taneni Location, Lusikisiki"
Horseshoe Clinic,-32.248514,24.534568,Clinic,049 807 5700,076 396 5663,,North Street
Horton Clinic,-33.112276,27.021561,Clinic,406739189,835473337,,Horton Location
Hukuwa Clinic,-32.155198,26.6598,Clinic,408419398,718595898,,Hukuwa Village
Humansdorp Clinic,-34.035093,24.775393,Clinic,042 200 8319,073 894 7094,,Corner Park And Kobese Street
Humansdorp Hospital,-34.029998,24.780098,District Hospital,042 200 4201,083 378 1824,johan.wiggil@impilo.ecprov.gov.za,Duplessis Str.
Ibika Clinic,-32.301684,28.213494,Clinic,,764409095,,
Idutywa Nqabara Clinic,-32.101122,28.454407,Clinic,073 396 6194,073 224 4021,,
Idutywa Village CHC,-32.107531,28.3139,Community Health Clinic,047 489 4000,083 282 7686,,R408 Way To Willovale
Ikamvelihle Clinic,-33.793258,25.613033,Clinic,041 506 1060/1132,082 798 9707,ikamvelihleclinicshn@mandelametro.gov.za,Corner Jwaga Enkwenkwezi Stret
Ilinge Clinic,-31.977343,27.040419,Clinic,478729053,718595672,,Baliso Street
Ilita Clinic,-32.889788,27.534048,Clinic,406475006,730349105,,Ilita Township
Imidange Clinic,-32.779608,27.486798,Clinic,406360222,834914433,,Imidanga Village
Imizamo Yetho Clinic,-33.742686,24.796878,Clinic,042 283 0546,083 235 8532,amanda@igen.co.za,Tierstreet Ramaphosa Village
Imizizi Clinic,-30.904938,29.969515,Clinic,392513044,,,"Imizizi A/A, Redoubt"
Indwe Hospital,-31.4676,27.340628,District Hospital,459521190,825753237,mmh@indwehospital.co.za,Graham Steet Indwe 5445
Isikelo Clinic,-30.786719,29.767942,Clinic,718543837,734517449,,"Isikelo Clinic, Mbobeni A/A Bizana"
Isikhoba Clinic,-32.983049,27.610212,Clinic,,833780552,,
Isilimela Gateway Clinic,-31.733779,29.359197,Clinic,0475642805/6/11,760914146,,
Isilimela Hospital,-31.733779,29.359197,District Hospital,475649608,833780906,none475649608,
Isilindini Clinic,-30.61905,28.57801,Clinic,,071 8595 684,,Zingcuka Location
Isolomzi Clinic,-33.825409,25.375398,Clinic,041 977 5298,072 357 2466,,3 Zimasa Street
Jafta Clinic,-32.798911,27.310558,Clinic,833031921,835127407,,Kwelerhana Village
Jaji Clinic,-33.345739,27.119217,Clinic,406769013,732510855,,Siginqini Location
Jalamba Clinic,-31.961948,28.68011,Clinic,,833031528,,Tafalehehe Loc
Jama Clinic,-33.377311,27.093522,Clinic,406769011,824791950,,Mpekweni Location
Jamestown Clinic,-31.130482,26.804023,Clinic,718543806,781370727,,467 Msopomvu Street
Jamestown Hospital,-31.123632,26.807276,District Hospital,516410911,825551784,jth@intornext.co.za,Hillstreet
Jingqi Clinic,-32.332831,28.657679,Clinic,083 3031 547,072 7587 811,,
Joe Slovo Clinic,-33.825072,25.50272,Clinic,041 506 1000,072 803 3914,,Andiswaa And Mzwandile Street
John Dube Clinic,-32.991561,27.88565,Clinic,438495008,837594609,,35616 Phase 1 Scenery Park
Jose Pearson TB Hospital,-33.891712,25.468588,Specialised TB Hospital,041 372 8000,083 378 0207,richard.mufamadi@impilo.ecprov.gov.za,Mission Road Bathelsdorp
Joubertina CHC,-33.82642,23.865129,Community Health Clinic,042 273 1531,083 512 4788,,Corner Ferreira And Williams Steward
Joza Clinic,-33.291604,26.560315,Clinic,046 603 6026,082 839 5712,,Nompondo Joza
Kalankomo Clinic,-30.9316,28.70536,Clinic,,0833031562 / 0836418260,,Kalankomo Location
Kamastone Clinic,-32.067226,26.650088,Clinic,408451202,784532100,,Kamastone Village
Kambi Clinic,-31.492821,28.661469,Clinic,,718543795,,Kambi A/A
Kanyayo (Bizana) Clinic,-31.079268,29.800673,Clinic,,0734021329 / 0733363602,,"Kanyayo Location, 30km From Bizana To Kokstad"
Kareedouw Clinic,-33.951684,24.305658,Clinic,042 288 0544,,,90 Vyge And Kananc Street
Kati-Kati Clinic,-32.288389,27.155862,Clinic,458431370,793548564,,940 Avonve C
Katkop Clinic,-30.898011,28.54957,Clinic,,833781128,,"Elalini Village, Mt Fletcher"
KB Siswana Clinic,-32.059339,26.765965,Clinic,833780668,833780668,,981 Who Can Tell Queenstown
Madlangala Clinic,-30.1058,28.3528,Clinic,083 303 1820,,,
Kenton-On-Sea Clinic,-33.676401,26.66601,Clinic,046 6481 531,078 3810 569,,Hoyi Street
Keti Clinic,-32.01328,28.14104,Clinic,,825918707,,
Khanyayo (Holy Cross) Clinic,-31.193877,29.845441,Clinic,793914775,718595605,,Nkambathi Road
Khayamnandi Clinic,-31.281664,25.811927,Clinic,488840034,735837189,motsoikha@webmail.com,"Paka Street, Steynsburg"
Khuze Clinic,-32.2134,27.628274,Clinic,833031563,733727074,,Khuze Location Area
Kirkwood Clinic,-33.402012,25.442649,Clinic,,084 464 2519,erikada@srvm.gov.za,25 Middle Street
Kleinbulhoek Clinic,-32.100067,26.560577,Clinic,408450156,839589278,,"Pelandaba Village, Ntabethemba"
Kohlo Clinic,-31.549321,29.379748,Clinic,,833780712,,
Kolomana Clinic,-32.42551,26.78879,Clinic,,718595807,,
